"country","max_height"
"China PR","166"
"Syria","182"
"South Sudan","201"
"Nigeria","165"
"Germany","164"
"Netherlands","168"
"Greece","170"
"Suriname","178"
"São Tomé & Príncipe","176"
"Cuba","166"
"Ethiopia","174"
"Georgia","171"
"Guinea","168"
"Norway","164"
"United States","165"
"Montenegro","172"
"Gibraltar","183"
"Moldova","172"
"France","162"
"Ghana","163"
"Hungary","171"
"Curacao","168"
"Faroe Islands","182"
"Angola","167"
"Lebanon","172"
"Uruguay","162"
"Cyprus","179"
"Malta","168"
"Barbados","183"
"Eritrea","189"
"Japan","161"
"Switzerland","167"
"Ukraine","170"
"Sierra Leone","168"
"Comoros","168"
"South Africa","162"
"Guyana","171"
"Sweden","164"
"Guatemala","183"
"St Lucia","183"
"India","167"
"Croatia","169"
"Kazakhstan","177"
"Chad","186"
"Bosnia Herzegovina","172"
"Portugal","163"
"Tunisia","173"
"Peru","168"
"Bolivia","164"
"Belgium","162"
"Afghanistan","174"
"Scotland","162"
"Dominican Republic","174"
"Mauritius","184"
"Turkey","165"
"Saudi Arabia","161"
"Iceland","170"
"Panama","167"
"Estonia","173"
"Slovenia","170"
"Austria","166"
"Sudan","169"
"Northern Ireland","169"
"Benin","172"
"Bulgaria","170"
"Macau","183"
"Central African Rep.","184"
"Honduras","170"
"Palestine","180"
"Tanzania","170"
"Thailand","158"
"Togo","172"
"Malawi","178"
"Paraguay","165"
"Slovakia","167"
"Namibia","179"
"Zimbabwe","170"
"Finland","168"
"Morocco","168"
"Iran","174"
"St Kitts Nevis","177"
"Azerbaijan","180"
"Venezuela","165"
"Mexico","159"
"FYR Macedonia","172"
"Antigua & Barbuda","173"
"Puerto Rico","183"
"Guam","175"
"Grenada","180"
"Costa Rica","166"
"Korea Republic","160"
"Chile","162"
"Liberia","178"
"Chinese Taipei","180"
"Burundi","164"
"Romania","165"
"Bahrain","194"
"Albania","169"
"Niger","170"
"Armenia","175"
"Spain","165"
"Burkina Faso","171"
"Liechtenstein","175"
"Denmark","165"
"Equatorial Guinea","173"
"Montserrat","177"
"Mali","170"
"Mozambique","178"
"Ecuador","157"
"Brazil","164"
"Egypt","169"
"Ivory Coast","165"
"El Salvador","168"
"Israel","168"
"United Arab Emirates","164"
"Kenya","170"
"Italy","163"
"DR Congo","167"
"Guinea Bissau","167"
"Serbia","168"
"Russia","169"
"Gabon","167"
"Gambia","166"
"England","160"
"Lithuania","174"
"Zambia","170"
"Vietnam","168"
"Wales","168"
"New Zealand","168"
"Kosovo","170"
"Madagascar","175"
"Czech Republic","166"
"Korea DPR","173"
"Uzbekistan","173"
"Philippines","177"
"Australia","158"
"Cameroon","167"
"Uganda","174"
"Senegal","170"
"Jamaica","170"
"Haiti","173"
"Iraq","174"
"Canada","165"
"Jordan","182"
"Congo","171"
"Libya","170"
"Latvia","173"
"Cape Verde","169"
"Trinidad & Tobago","171"
"Rwanda","180"
"Republic of Ireland","165"
"Poland","165"
"Algeria","168"
"Mauritania","174"
"Belize","180"
"Argentina","156"
"Luxembourg","172"
"Bermuda","170"
"Colombia","160"
"Indonesia","168"
"New Caledonia","182"
"Hong Kong","188"
