"players","country","max_overall"
"http://ex.org/players/L._Messi","Argentina","94"
"http://ex.org/players/Cristiano_Ronaldo","Portugal","93"
"http://ex.org/players/Neymar_Jr","Brazil","92"
"http://ex.org/players/E._Hazard","Belgium","91"
"http://ex.org/players/K._De_Bruyne","Belgium","91"
"http://ex.org/players/J._Oblak","Slovenia","91"
"http://ex.org/players/L._Modrić","Croatia","90"
"http://ex.org/players/M._Salah","Egypt","90"
"http://ex.org/players/M._ter_Stegen","Germany","90"
"http://ex.org/players/V._van_Dijk","Netherlands","90"
"http://ex.org/players/L._Suárez","Colombia","89"
"http://ex.org/players/H._Kane","England","89"
"http://ex.org/players/A._Griezmann","France","89"
"http://ex.org/players/K._Mbappé","France","89"
"http://ex.org/players/N._Kanté","France","89"
"http://ex.org/players/G._Chiellini","Italy","89"
"http://ex.org/players/R._Lewandowski","Poland","89"
"http://ex.org/players/K._Koulibaly","Senegal","89"
"http://ex.org/players/De_Gea","Spain","89"
"http://ex.org/players/Sergio_Busquets","Spain","89"
"http://ex.org/players/Sergio_Ramos","Spain","89"
"http://ex.org/players/L._Suárez","Uruguay","89"
"http://ex.org/players/C._Eriksen","Denmark","88"
"http://ex.org/players/P._Aubameyang","Gabon","88"
"http://ex.org/players/K._Navas","Costa Rica","87"
"http://ex.org/players/H._Son","Korea Republic","87"
"http://ex.org/players/M._Pjanić","Bosnia Herzegovina","86"
"http://ex.org/players/M._Škriniar","Slovakia","86"
"http://ex.org/players/D._Alaba","Austria","85"
"http://ex.org/players/K._Manolas","Greece","85"
"http://ex.org/players/P._Gulácsi","Hungary","85"
"http://ex.org/players/J._Rodríguez","Mexico","85"
"http://ex.org/players/H._Ziyech","Morocco","85"
"http://ex.org/players/A._Robertson","Scotland","85"
"http://ex.org/players/S._Milinković-Savić","Serbia","85"
"http://ex.org/players/Z._Ibrahimović","Sweden","85"
"http://ex.org/players/R._Bürki","Switzerland","85"
"http://ex.org/players/G._Bale","Wales","85"
"http://ex.org/players/R._Mahrez","Algeria","84"
"http://ex.org/players/A._Vidal","Chile","84"
"http://ex.org/players/J._Pavlenka","Czech Republic","84"
"http://ex.org/players/L._Hrádecký","Finland","83"
"http://ex.org/players/G._Sigurðsson","Iceland","83"
"http://ex.org/players/N._Pépé","Ivory Coast","83"
"http://ex.org/players/W._Zaha","Ivory Coast","83"
"http://ex.org/players/R._Jarstein","Norway","83"
"http://ex.org/players/D._Djené","Togo","83"
"http://ex.org/players/T._Strakosha","Albania","82"
"http://ex.org/players/A._Onana","Cameroon","82"
"http://ex.org/players/J._Matip","Cameroon","82"
"http://ex.org/players/C._Bakambu","DR Congo","82"
"http://ex.org/players/T._Partey","Ghana","82"
"http://ex.org/players/N._Keïta","Guinea","82"
"http://ex.org/players/L._Bailey","Jamaica","82"
"http://ex.org/players/S._Savić","Montenegro","82"
"http://ex.org/players/Mário_Fernandes","Russia","82"
"http://ex.org/players/Marlos","Ukraine","82"
"http://ex.org/players/H._Mkhitaryan","Armenia","81"
"http://ex.org/players/G._Kondogbia","Central African Rep.","81"
"http://ex.org/players/S._Mandíquez","Ecuador","81"
"http://ex.org/players/E._Zahavi","Israel","81"
"http://ex.org/players/W._Ndidi","Nigeria","81"
"http://ex.org/players/J._Martínez","Peru","81"
"http://ex.org/players/J._Corona","United States","81"
"http://ex.org/players/J._Martínez","Venezuela","81"
"http://ex.org/players/M._Ryan","Australia","80"
"http://ex.org/players/M._Hasebe","Japan","80"
"http://ex.org/players/M._Marega","Mali","80"
"http://ex.org/players/M._Almirón","Paraguay","80"
"http://ex.org/players/S._Radu","Romania","80"
