"country","sum_overall","count"
"England","110719","1749"
"Germany","81874","1241"
"Spain","73779","1054"
"France","69328","1029"
"Argentina","69778","1015"
"Brazil","60073","844"
"Italy","50219","742"
"Colombia","47142","714"
"Japan","28918","454"
"Mexico","29413","444"
"Chile","28219","434"
"Netherlands","28548","419"
"United States","25761","398"
"Republic of Ireland","23022","375"
"China PR","22188","373"
"Norway","23286","369"
"Sweden","22975","360"
"Portugal","25249","358"
"Denmark","22413","352"
"Austria","21363","326"
"Poland","20638","325"
"Korea Republic","20506","322"
"Saudi Arabia","18888","310"
"Scotland","19888","308"
"Turkey","19563","296"
"Romania","18358","288"
"Belgium","18609","272"
"Switzerland","15442","238"
"Australia","13572","217"
"Uruguay","14683","207"
"Wales","9560","148"
"Senegal","10024","146"
"Serbia","9851","142"
"Nigeria","8781","131"
"Ghana","8707","130"
"Croatia","8933","128"
"Ivory Coast","7841","114"
"Czech Republic","7172","102"
"Northern Ireland","6393","100"
"Venezuela","6485","97"
"Paraguay","6688","97"
"Greece","6720","97"
"Morocco","6630","95"
"Russia","5767","83"
"Cameroon","5402","79"
"South Africa","5188","77"
"Finland","4722","74"
"Canada","4587","72"
"Mali","4695","70"
"Ukraine","4821","69"
"Bosnia Herzegovina","4610","67"
"Slovenia","4191","61"
"Ecuador","4163","60"
"DR Congo","3694","54"
"Slovakia","3743","54"
"Algeria","3740","53"
"Iceland","3095","46"
"Albania","2925","44"
"Guinea","3002","44"
"Peru","2976","43"
"Costa Rica","2839","42"
"Bulgaria","2602","41"
"Kosovo","2733","41"
"New Zealand","2589","40"
"Jamaica","2514","38"
"Hungary","2511","36"
"Tunisia","2389","35"
"Montenegro","2250","34"
"Egypt","2103","30"
"Bolivia","1852","28"
"Georgia","1726","25"
"India","1380","23"
"United Arab Emirates","1383","22"
"Panama","1448","22"
"Gambia","1368","21"
"Guinea Bissau","1415","21"
"Cape Verde","1479","21"
"FYR Macedonia","1374","20"
"Congo","1244","19"
"Curacao","1195","18"
"Burkina Faso","1196","18"
"Angola","1243","18"
"Honduras","1084","16"
"Gabon","1131","16"
"Israel","1138","16"
"Benin","1015","15"
"Iran","1035","15"
"Moldova","904","14"
"Togo","902","13"
"Zimbabwe","807","12"
"Cyprus","679","11"
"Sierra Leone","701","11"
"Zambia","730","11"
"Lithuania","634","10"
"Trinidad & Tobago","645","10"
"Comoros","587","9"
"Luxembourg","591","9"
"Mauritania","518","8"
"Armenia","555","8"
"Madagascar","562","8"
"Antigua & Barbuda","416","7"
"Haiti","443","7"
"Kenya","457","7"
"Faroe Islands","368","6"
"Latvia","370","6"
"Estonia","398","6"
"Equatorial Guinea","414","6"
"Azerbaijan","313","5"
"El Salvador","329","5"
"Iraq","338","5"
"Cuba","344","5"
"Palestine","248","4"
"St Kitts Nevis","251","4"
"Lebanon","252","4"
"Tanzania","253","4"
"Guyana","254","4"
"Burundi","255","4"
"Thailand","256","4"
"Korea DPR","263","4"
"Dominican Republic","270","4"
"Syria","281","4"
"Central African Rep.","282","4"
"Libya","284","4"
"Mozambique","293","4"
"Niger","171","3"
"Sudan","188","3"
"Bermuda","191","3"
"Montserrat","198","3"
"Uganda","198","3"
"Uzbekistan","203","3"
"Malta","120","2"
"Grenada","121","2"
"Afghanistan","124","2"
"Liechtenstein","124","2"
"Rwanda","128","2"
"Guatemala","131","2"
"Suriname","132","2"
"Namibia","134","2"
"New Caledonia","135","2"
"Kazakhstan","136","2"
"Philippines","138","2"
"Liberia","141","2"
"Indonesia","56","1"
"South Sudan","59","1"
"Macau","61","1"
"Gibraltar","62","1"
"Malawi","62","1"
"Vietnam","62","1"
"Barbados","64","1"
"Ethiopia","64","1"
"St Lucia","64","1"
"Belize","66","1"
"Chinese Taipei","66","1"
"Guam","66","1"
"Mauritius","66","1"
"Hong Kong","67","1"
"Jordan","68","1"
"Puerto Rico","70","1"
"São Tomé & Príncipe","70","1"
"Eritrea","71","1"
"Bahrain","72","1"
"Chad","73","1"
