"club","wage_total","value_total"
"Real Madrid","9513000","1703840000"
"FC Barcelona","6435000","1083610000"
"Manchester City","4833000","1037695000"
"Cruz Azul","4534000","988585000"
"Club León","5306000","988205000"
"Juventus","4680000","936345000"
"Guadalajara","4627000","905975000"
"Defensa y Justicia","4073000","905215000"
"Liverpool","3347000","894815000"
"Once Caldas","3849000","891865000"
"FC Juárez","4074000","859100000"
"Tottenham Hotspur","3388000","848410000"
"Bayer 04 Leverkusen","2093000","848400000"
"Puebla FC","3977000","844585000"
"Club Atlético Banfield","3894000","834145000"
"Atlético Madrid","2071000","809775000"
"Central Córdoba","3822000","807010000"
"FC Bayern München","3063000","791520000"
"FC Botoşani","3581000","750535000"
"Portimonense SC","1198000","733555000"
"Paris Saint-Germain","2473000","706250000"
"SC Braga","1213000","701100000"
"Manchester United","3444000","580795000"
"AEK Athens","846000","577000000"
"Olympique Lyonnais","2608000","563005000"
"Napoli","1953000","556775000"
"Borussia Dortmund","1863000","552925000"
"Boavista FC","1003000","551775000"
"Guangzhou Evergrande Taobao FC","1070000","548545000"
"Valencia CF","1389000","548255000"
"Inter","1783000","541535000"
"FC Midtjylland","1137000","534085000"
"Chelsea","2933000","532220000"
"Lazio","1814000","523345000"
"Matsumoto Yamaga","900000","509070000"
"SL Benfica","697000","500125000"
"BK Häcken","856000","493290000"
"Ajax","735000","475130000"
"Villarreal CF","2162000","470075000"
"Sevilla FC","707000","469500000"
"Arsenal","2026000","454860000"
"FC Porto","595000","417050000"
"Milan","1038000","415960000"
"RB Leipzig","1110000","382760000"
"West Ham United","2580000","382065000"
"Real Betis","827000","376005000"
"Getafe CF","1005000","362465000"
"LOSC Lille","943000","345155000"
"Everton","2006000","342125000"
"Watford","2349000","334205000"
"Roma","1134000","332755000"
"Deportivo Alavés","836000","326950000"
"Club América","1937000","320435000"
"Leicester City","2080000","317470000"
"Cúcuta Deportivo","1562000","316685000"
"Atlanta United","1019000","315215000"
"Racing Club","1080000","308710000"
"Borussia Mönchengladbach","827000","308275000"
"Bologna","1363000","308270000"
"AS Monaco","1001000","308260000"
"VfL Wolfsburg","1189000","297030000"
"DC United","893000","290010000"
"Sporting CP","337000","281025000"
"Athletic Club de Bilbao","624000","279400000"
"RC Celta","713000","278965000"
"Envigado FC","1041000","269685000"
"OGC Nice","1144000","268625000"
"Shakhtar Donetsk","207000","268010000"
"Wolverhampton Wanderers","1689000","266185000"
"PSV","449000","265800000"
"Olympique de Marseille","922000","263865000"
"Olympiacos CFP","395000","263610000"
"Real Sociedad","582000","263085000"
"Eintracht Frankfurt","868000","262445000"
"Boca Juniors","840000","260145000"
"Atalanta","1166000","257895000"
"Bournemouth","1533000","257820000"
"TSG 1899 Hoffenheim","848000","257775000"
"Cagliari","1120000","255475000"
"Monterrey","1231000","249550000"
"Levante UD","710000","244750000"
"Club Atlas","927000","244455000"
"Vitória Guimarães","590000","242175000"
"Newcastle United","1027000","240505000"
"Galatasaray SK","1744000","235375000"
"RCD Espanyol","693000","232840000"
"Tiburones Rojos de Veracruz","752000","230640000"
"Real Valladolid CF","570000","227550000"
"Pachuca","1342000","227085000"
"Real Zaragoza","1252000","226375000"
"River Plate","658000","226205000"
"Udinese","579000","224900000"
"SD Eibar","670000","224650000"
"Torino","875000","224455000"
"VfB Stuttgart","759000","218640000"
"Orlando City SC","779000","217930000"
"Southampton","1196000","216140000"
"Club Tijuana","631000","215530000"
"FC Girondins de Bordeaux","755000","213850000"
"FC Schalke 04","654000","213745000"
"Brighton & Hove Albion","1111000","210990000"
"Audax Italiano","1153000","210855000"
"Crystal Palace","1306000","210200000"
"Lokomotiv Moscow","190000","209370000"
"PAOK","178000","208625000"
"Granada CF","750000","206165000"
"Deportivo Toluca","863000","206150000"
"Monarcas Morelia","322000","206055000"
"FC Nantes","792000","205900000"
"SPAL","656000","205660000"
"UD Almería","522000","205035000"
"Beşiktaş JK","1392000","203400000"
"Hannover 96","856000","203120000"
"Fiorentina","938000","197065000"
"SV Werder Bremen","608000","195060000"
"Tigres U.A.N.L.","1474000","194540000"
"Hertha BSC","567000","193960000"
"Independiente","728000","191800000"
"Clube Sport Marítimo","561000","190725000"
"Burnley","835000","189140000"
"Sampdoria","701000","186560000"
"Gimnasia y Esgrima La Plata","648000","184865000"
"Millonarios FC","206000","181840000"
"CF Fuenlabrada","253000","181160000"
"Genoa","416000","179630000"
"Aston Villa","1100000","179620000"
"Angers SCO","639000","179150000"
"Independiente Medellín","536000","178335000"
"Beijing Sinobo Guoan FC","356000","175715000"
"SK Slavia Praha","174000","175200000"
"FC Augsburg","618000","174520000"
"San Lorenzo de Almagro","728000","172695000"
"1. FC Köln","552000","170210000"
"Newell's Old Boys","718000","169985000"
"AS Saint-Étienne","634000","168970000"
"Lecce","467000","167930000"
"Hallescher FC","822000","167900000"
"La Equidad","545000","166710000"
"Fenerbahçe SK","1224000","166545000"
"RC Strasbourg Alsace","585000","165740000"
"Rangers FC","1281000","165245000"
"Norwich City","940000","165165000"
"Chicago Fire","932000","165130000"
"Rionegro Águilas","631000","164705000"
"1. FSV Mainz 05","497000","163200000"
"SD Huesca","470000","160795000"
"Club Brugge KV","402000","159900000"
"Feyenoord","373000","158650000"
"Montpellier HSC","623000","158395000"
"KRC Genk","285000","155900000"
"Medipol Başakşehir FK","906000","152700000"
"1. FC Magdeburg","741000","150625000"
"Unión Española","663000","149355000"
"CD Leganés","569000","147295000"
"Chemnitzer FC","746000","146275000"
"Alianza Petrolera","431000","144480000"
"LA Galaxy","216000","143535000"
"Dinamo Bucureşti","291000","143270000"
"Stoke City","890000","143175000"
"Sassuolo","852000","142510000"
"KAA Gent","452000","142410000"
"Dynamo Kyiv","28000","140650000"
"Club Atlético Lanús","423000","139215000"
"Junior FC","551000","138930000"
"Guangzhou R&F FC","413000","138090000"
"Fortuna Düsseldorf","687000","136310000"
"Hamburger SV","304000","132985000"
"VfL Bochum 1848","767000","132870000"
"Vélez Sarsfield","279000","131875000"
"Girona FC","268000","131795000"
"Seattle Sounders FC","505000","131555000"
"AS Nancy Lorraine","363000","130630000"
"Atlético Tucumán","562000","128450000"
"RSC Anderlecht","336000","126450000"
"Sheffield Wednesday","978000","126005000"
"Spartak Moscow","29000","125150000"
"Rayo Vallecano","221000","124925000"
"Gil Vicente FC","416000","124900000"
"Málaga CF","234000","122575000"
"Club Atlético Colón","446000","120675000"
"Santos Laguna","540000","119700000"
"CD Tondela","328000","118900000"
"Atlético Nacional","417000","118110000"
"Columbus Crew SC","294000","117800000"
"SC Freiburg","439000","117720000"
"CA Osasuna","675000","117530000"
"FC Red Bull Salzburg","448000","116350000"
"Fulham","818000","114515000"
"Sparta Praha","96000","114040000"
"Patriotas Boyacá FC","205000","113430000"
"Cardiff City","805000","113315000"
"Stade Rennais FC","572000","113100000"
"Toulouse Football Club","421000","112545000"
"Celtic","849000","112180000"
"Estudiantes de La Plata","471000","110895000"
"Grêmio","416000","110130000"
"Sheffield United","708000","109855000"
"Brentford","715000","109470000"
"FC Metz","359000","109210000"
"Atlético Bucaramanga","513000","108265000"
"PFC CSKA Moscow","24000","108060000"
"Atlético de San Luis","516000","107470000"
"Dinamo Zagreb","28000","105650000"
"Dalian YiFang FC","160000","103495000"
"New York Red Bulls","358000","103175000"
"Hebei China Fortune FC","642000","103165000"
"West Bromwich Albion","695000","102230000"
"Atlético Mineiro","495000","101350000"
"Kayserispor","355000","100945000"
"Trabzonspor","559000","100870000"
"Coventry City","561000","100255000"
"Standard de Liège","286000","100075000"
"Nottingham Forest","765000","99945000"
"América de Cali","414000","99725000"
"Albacete BP","209000","99535000"
"Brescia","241000","98725000"
"Amiens SC","320000","98445000"
"Wigan Athletic","566000","97495000"
"Santa Clara","216000","96555000"
"Parma","735000","95370000"
"Yeni Malatyaspor","272000","95060000"
"Querétaro","277000","94830000"
"Birmingham City","361000","94480000"
"Universidad Católica","323000","94475000"
"Reading","525000","93895000"
"AZ Alkmaar","148000","93775000"
"Mansfield Town","760000","92120000"
"Hellas Verona","313000","91820000"
"BSC Young Boys","287000","90780000"
"Charlton Athletic","352000","90210000"
"Al Hilal","582000","89150000"
"Leeds United","891000","88530000"
"U.N.A.M.","427000","87765000"
"Preston North End","539000","86715000"
"Al Nassr","559000","86135000"
"Swansea City","528000","84410000"
"Shanghai SIPG FC","198000","83510000"
"Rosario Central","490000","83425000"
"Moreirense FC","213000","83345000"
"Royal Antwerp FC","211000","83110000"
"Stade de Reims","342000","82760000"
"Urawa Red Diamonds","269000","81765000"
"Club Necaxa","344000","80745000"
"Alanyaspor","246000","80475000"
"AC Ajaccio","261000","79700000"
"Gazişehir Gaziantep F.K.","302000","79380000"
"Göztepe SK","433000","78700000"
"Antalyaspor","338000","78365000"
"Extremadura UD","240000","78005000"
"Jiangsu Suning FC","285000","77135000"
"Millwall","477000","76905000"
"Deportivo de La Coruña","163000","76900000"
"Deportes Tolima","153000","76825000"
"Real Sporting de Gijón","339000","76500000"
"Huddersfield Town","445000","76475000"
"Internacional","363000","76175000"
"Chamois Niortais Football Club","155000","76055000"
"Los Angeles FC","135000","75740000"
"Portland Timbers","173000","75645000"
"CD Lugo","289000","75405000"
"Rosenborg BK","183000","75260000"
"Salford City","471000","74320000"
"Kaizer Chiefs","138000","73815000"
"FC Paços de Ferreira","208000","73625000"
"1. FC Nürnberg","223000","73090000"
"FC Utrecht","279000","72950000"
"1. FC Union Berlin","581000","72830000"
"Viktoria Plzeň","25000","72390000"
"Al Ahli","498000","72165000"
"Djurgårdens IF","387000","72100000"
"Sporting de Charleroi","322000","71580000"
"Os Belenenses","127000","71550000"
"CD Cobresal","351000","70710000"
"FC Basel 1893","314000","70545000"
"Gençlerbirliği SK","311000","70380000"
"Barnsley","297000","70290000"
"FC Twente","202000","70200000"
"TSV Hartberg","121000","69525000"
"Club Atlético Talleres","281000","68340000"
"Godoy Cruz","205000","68005000"
"Real Oviedo","224000","67475000"
"SV Darmstadt 98","335000","66795000"
"En Avant de Guingamp","149000","66395000"
"CD Aves","201000","66225000"
"Bristol City","618000","66160000"
"Queens Park Rangers","276000","65535000"
"Racing Club de Lens","333000","65505000"
"FC København","267000","65380000"
"Cádiz CF","238000","64595000"
"Al Ittihad","544000","64340000"
"Kawasaki Frontale","269000","64080000"
"CD Numancia","200000","63920000"
"Real Salt Lake","206000","63700000"
"Atiker Konyaspor","350000","63650000"
"New England Revolution","196000","63210000"
"Panathinaikos FC","68000","63160000"
"Stade Brestois 29","245000","62765000"
"Deportivo Cali","177000","62555000"
"Unión Magdalena","302000","62400000"
"Colorado Rapids","247000","62205000"
"New York City FC","135000","61360000"
"FC Carl Zeiss Jena","155000","60750000"
"RCD Mallorca","329000","60700000"
"Derby County","416000","60070000"
"Shrewsbury","388000","59940000"
"Nîmes Olympique","225000","59790000"
"FC Dallas","214000","59745000"
"Port Vale","496000","59445000"
"Dijon FCO","192000","59315000"
"Colo-Colo","233000","59150000"
"Atlético Huila","216000","59065000"
"HJK Helsinki","521000","58475000"
"Fluminense","329000","58450000"
"Gamba Osaka","267000","57995000"
"CD Tenerife","183000","57820000"
"Toronto FC","114000","57470000"
"Kalmar FF","515000","57385000"
"CD Huachipato","370000","56940000"
"Universidad de Chile","284000","56865000"
"Empoli","94000","56170000"
"SV Sandhausen","190000","56145000"
"Crewe Alexandra","389000","56025000"
"Aalborg BK","144000","55585000"
"Al Ain FC","73000","55265000"
"Northampton Town","294000","55020000"
"Vitesse","212000","54875000"
"Shimizu S-Pulse","236000","54730000"
"Cruzeiro","341000","54725000"
"Bristol Rovers","372000","54120000"
"Rio Ave FC","124000","54000000"
"Le Havre AC","232000","53945000"
"Universitatea Craiova","200000","53750000"
"SønderjyskE","246000","53675000"
"Sporting Kansas City","146000","53645000"
"Sarpsborg 08 FF","141000","53300000"
"Hammarby IF","159000","53140000"
"San Jose Earthquakes","179000","53000000"
"Vitória de Setúbal","116000","52850000"
"SD Ponferradina","187000","52815000"
"FC St. Gallen","330000","51645000"
"KV Oostende","235000","51540000"
"Botafogo","251000","51465000"
"Swindon Town","389000","51390000"
"CD O'Higgins","263000","51305000"
"Argentinos Juniors","183000","50860000"
"Club Atlético Aldosivi","232000","50725000"
"Philadelphia Union","131000","50650000"
"Al Faisaly","343000","50335000"
"Minnesota United FC","142000","49070000"
"Shanghai Greenland Shenhua FC","161000","48860000"
"AIK","154000","48670000"
"SC Paderborn 07","296000","48615000"
"AD Alcorcón","171000","48605000"
"Aberdeen","162000","48565000"
"Santos","371000","48445000"
"Middlesbrough","372000","48360000"
"Hull City","183000","48315000"
"Sydney FC","232000","47940000"
"Chievo Verona","78000","47365000"
"CD Everton de Viña del Mar","176000","47230000"
"Heart of Midlothian","164000","46570000"
"Arsenal de Sarandí","273000","46445000"
"FCSB (Steaua)","189000","46195000"
"Cerezo Osaka","184000","46160000"
"CSA - AL","158000","45750000"
"Unión de Santa Fe","184000","45375000"
"Karlsruher SC","199000","45310000"
"Frosinone","62000","45050000"
"SK Brann","153000","44600000"
"Blackburn Rovers","291000","43645000"
"Benevento","78000","43615000"
"SV Waldhof Mannheim","135000","43515000"
"Al Shabab","412000","43360000"
"Oita Trinita","127000","43355000"
"FC Lorient","95000","43000000"
"Livorno","114000","42800000"
"Sint-Truidense VV","158000","42700000"
"Houston Dynamo","112000","42645000"
"Jaguares de Córdoba","227000","42495000"
"Kashima Antlers","141000","42370000"
"Çaykur Rizespor","149000","42240000"
"Club Atlético Huracán","180000","42220000"
"AJ Auxerre","120000","42195000"
"Kasimpaşa SK","186000","42140000"
"KAS Eupen","139000","41610000"
"Hibernian","193000","41465000"
"FC Tokyo","151000","40640000"
"Brøndby IF","198000","40510000"
"Montreal Impact","88000","40455000"
"Forest Green Rovers","292000","39955000"
"Sagan Tosu","112000","39765000"
"Tianjin TEDA FC","138000","39710000"
"Holstein Kiel","170000","39705000"
"SpVgg Greuther Fürth","196000","39705000"
