"country","wage_total","value_total"
"Spain","18471000","5491640000"
"Brazil","19356000","5371205000"
"Argentina","20437000","5330340000"
"France","15603000","4239210000"
"Germany","13714000","3534455000"
"England","19992000","3389735000"
"Colombia","12860000","3296705000"
"Mexico","11225000","2482025000"
"Italy","8535000","2323380000"
"Portugal","6042000","2289105000"
"Uruguay","8112000","1962340000"
"Netherlands","4651000","1452940000"
"Belgium","4842000","1335180000"
"Chile","4049000","960120000"
"Senegal","3107000","848175000"
"Denmark","2839000","713945000"
"United States","2463000","691870000"
"Serbia","1942000","645840000"
"Croatia","2580000","626255000"
"Turkey","3478000","621325000"
"Austria","2586000","617230000"
"Scotland","3388000","582845000"
"Switzerland","2410000","581975000"
"Venezuela","1657000","522360000"
"Sweden","1968000","508855000"
"Poland","1852000","496435000"
"Norway","1673000","495045000"
"Ivory Coast","1760000","482445000"
"Japan","1826000","468165000"
"Morocco","1244000","393280000"
"Czech Republic","614000","381880000"
"Republic of Ireland","2495000","380270000"
"Nigeria","1282000","364470000"
"Wales","2303000","358310000"
"Paraguay","1216000","338005000"
"Greece","812000","331920000"
"Ghana","1205000","320875000"
"Korea Republic","1129000","318220000"
"Romania","1166000","305345000"
"Russia","267000","297290000"
"Ukraine","517000","271725000"
"Algeria","1123000","263805000"
"Mali","989000","256740000"
"Slovenia","723000","253010000"
"Peru","480000","246405000"
"Bosnia Herzegovina","1009000","239205000"
"Cameroon","880000","238340000"
"Australia","1069000","231500000"
"Slovakia","531000","219560000"
"Guinea","660000","193875000"
"Northern Ireland","1215000","189710000"
"Costa Rica","552000","166500000"
"DR Congo","620000","140445000"
"China PR","1263000","137115000"
"Saudi Arabia","1734000","133140000"
"Egypt","467000","127800000"
"Ecuador","680000","124460000"
"Canada","472000","115575000"
"Hungary","294000","114150000"
"Gabon","354000","110500000"
"South Africa","255000","106810000"
"New Zealand","387000","104320000"
"Kosovo","395000","101065000"
"Finland","429000","100390000"
"Albania","352000","93285000"
"Cape Verde","268000","91170000"
"Tunisia","355000","86935000"
"Jamaica","403000","86085000"
"Iceland","300000","83230000"
"Montenegro","262000","74695000"
"Panama","306000","69110000"
"Israel","198000","63575000"
"Angola","215000","63225000"
"Georgia","118000","60425000"
"Togo","160000","57795000"
"FYR Macedonia","181000","55900000"
"Burkina Faso","242000","54670000"
"Trinidad & Tobago","309000","51510000"
"Iran","174000","49130000"
"Dominican Republic","426000","44650000"
"Guinea Bissau","128000","41660000"
"Honduras","106000","40525000"
"Gambia","172000","37260000"
"Moldova","154000","32795000"
"Curacao","142000","31180000"
"Armenia","188000","30825000"
"Bolivia","123000","27210000"
"Zimbabwe","92000","26660000"
"Central African Rep.","68000","25375000"
"Congo","105000","23330000"
"Syria","86000","20120000"
"Benin","112000","19075000"
"Mauritania","54000","18505000"
"Zambia","66000","17475000"
"Tanzania","28000","16295000"
"Sierra Leone","90000","15715000"
"Mozambique","59000","15600000"
"Equatorial Guinea","69000","14350000"
"Madagascar","63000","14225000"
"Bulgaria","54000","13835000"
"Kenya","94000","13440000"
"Cyprus","73000","13395000"
"Cuba","129000","12625000"
"United Arab Emirates","41000","11840000"
"Libya","19000","11500000"
"Comoros","29000","10795000"
"Luxembourg","35000","9355000"
"Lithuania","32000","9255000"
"Iraq","18000","7375000"
"El Salvador","21000","7330000"
"Uzbekistan","22000","6790000"
"Estonia","38000","6365000"
"Philippines","23000","5975000"
"Chad","19000","4700000"
"Haiti","16000","4595000"
"Korea DPR","23000","4525000"
"Azerbaijan","15000","4300000"
"Thailand","9000","4290000"
"St Kitts Nevis","38000","4050000"
"Bahrain","1000","3900000"
"Liberia","10000","3700000"
"Faroe Islands","20000","3235000"
"Antigua & Barbuda","15000","3000000"
"Montserrat","17000","2800000"
"Burundi","21000","2760000"
"New Caledonia","11000","2650000"
"Latvia","14000","2560000"
"Lebanon","10000","2385000"
"Bermuda","11000","2260000"
"Guyana","10000","2180000"
"Uganda","14000","2175000"
"Namibia","8000","2000000"
"Kazakhstan","9000","1800000"
"Puerto Rico","5000","1600000"
"Sudan","11000","1475000"
"Palestine","8000","1415000"
"São Tomé & Príncipe","11000","1400000"
"Rwanda","5000","1325000"
"Eritrea","7000","1200000"
"Suriname","6000","975000"
"Guatemala","3000","875000"
"Chinese Taipei","4000","850000"
"Afghanistan","3000","800000"
"Belize","3000","800000"
"Liechtenstein","4000","715000"
"Niger","4000","710000"
"Grenada","3000","705000"
"Mauritius","3000","600000"
"Hong Kong","5000","575000"
"Malta","5000","525000"
"St Lucia","3000","500000"
"Guam","2000","475000"
"Vietnam","2000","400000"
"Malawi","1000","375000"
"Barbados","4000","350000"
"Macau","4000","290000"
"Ethiopia","1000","200000"
"Indonesia","1000","190000"
"South Sudan","2000","190000"
"Gibraltar","3000","140000"
"Jordan","4000","90000"
"India","0","0"
