"country","max_height"
"China PR","195"
"Syria","190"
"South Sudan","201"
"Nigeria","201"
"Germany","199"
"Netherlands","202"
"Greece","198"
"Suriname","185"
"São Tomé & Príncipe","176"
"Cuba","193"
"Ethiopia","174"
"Georgia","196"
"Guinea","193"
"Norway","201"
"United States","198"
"Montenegro","197"
"Gibraltar","183"
"Moldova","200"
"France","203"
"Ghana","195"
"Hungary","194"
"Curacao","191"
"Faroe Islands","187"
"Angola","187"
"Lebanon","189"
"Uruguay","196"
"Cyprus","189"
"Malta","181"
"Barbados","183"
"Eritrea","189"
"Japan","198"
"Switzerland","197"
"Ukraine","199"
"Sierra Leone","193"
"Comoros","178"
"South Africa","196"
"Guyana","185"
"Sweden","202"
"Guatemala","193"
"St Lucia","183"
"India","195"
"Croatia","201"
"Kazakhstan","179"
"Chad","186"
"Bosnia Herzegovina","199"
"Portugal","196"
"Tunisia","194"
"Peru","194"
"Bolivia","192"
"Belgium","199"
"Afghanistan","178"
"Scotland","201"
"Dominican Republic","186"
"Mauritius","184"
"Turkey","198"
"Saudi Arabia","195"
"Iceland","195"
"Panama","190"
"Estonia","197"
"Slovenia","193"
"Austria","200"
"Sudan","183"
"Northern Ireland","198"
"Benin","196"
"Bulgaria","194"
"Macau","183"
"Central African Rep.","191"
"Honduras","185"
"Palestine","183"
"Tanzania","185"
"Thailand","178"
"Togo","191"
"Malawi","178"
"Paraguay","193"
"Slovakia","196"
"Namibia","182"
"Zimbabwe","187"
"Finland","200"
"Morocco","192"
"Iran","192"
"St Kitts Nevis","193"
"Azerbaijan","191"
"Venezuela","198"
"Mexico","196"
"FYR Macedonia","196"
"Antigua & Barbuda","187"
"Puerto Rico","183"
"Guam","175"
"Grenada","185"
"Costa Rica","196"
"Korea Republic","196"
"Chile","199"
"Liberia","190"
"Chinese Taipei","180"
"Burundi","180"
"Romania","203"
"Bahrain","194"
"Albania","195"
"Niger","182"
"Armenia","185"
"Spain","198"
"Burkina Faso","203"
"Liechtenstein","178"
"Denmark","203"
"Equatorial Guinea","185"
"Montserrat","188"
"Mali","198"
"Mozambique","188"
"Ecuador","199"
"Brazil","198"
"Egypt","194"
"Ivory Coast","203"
"El Salvador","179"
"Israel","194"
"United Arab Emirates","192"
"Kenya","188"
"Italy","196"
"DR Congo","195"
"Guinea Bissau","194"
"Serbia","202"
"Russia","196"
"Gabon","187"
"Gambia","193"
"England","203"
"Lithuania","195"
"Zambia","190"
"Vietnam","168"
"Wales","198"
"New Zealand","196"
"Kosovo","197"
"Madagascar","187"
"Czech Republic","205"
"Korea DPR","188"
"Uzbekistan","183"
"Philippines","191"
"Australia","198"
"Cameroon","196"
"Uganda","178"
"Senegal","203"
"Jamaica","194"
"Haiti","193"
"Iraq","185"
"Canada","196"
"Jordan","182"
"Congo","196"
"Libya","193"
"Latvia","198"
"Cape Verde","192"
"Trinidad & Tobago","191"
"Rwanda","185"
"Republic of Ireland","198"
"Poland","199"
"Algeria","196"
"Mauritania","203"
"Belize","180"
"Argentina","197"
"Luxembourg","192"
"Bermuda","195"
"Colombia","197"
"Indonesia","168"
"New Caledonia","182"
"Hong Kong","188"
